rowid,koi_fpflag_nt,koi_score,koi_period,koi_dikco_msky,koi_fpflag_co,koi_fpflag_ss,koi_num_transits,koi_count,koi_steff_err1,koi_fpflag_ec,koi_srho_err2,kepid,koi_fwm_sdeco,koi_depth,koi_dikco_mra_err,koi_fwm_stat_sig,koi_prad_err1,koi_dicco_msky,koi_smet_err2,koi_ror,koi_dikco_msky_err,koi_prad,koi_dor,classification,koi_pdisposition
1,0,1.0,9.48803557,0.32,0,0,142.0,2,81.0,0,-1.09986,10797460,0.94,615.8,0.13,0.002,0.26,0.2,-0.15,0.022344,0.16,2.26,24.81,1,CANDIDATE
2,0,0.969,54.4183827,0.5,0,0,25.0,2,81.0,0,-2.49638,10797460,1.23,874.8,0.34,0.003,0.32,0.39,-0.15,0.027954,0.45,2.83,77.9,1,CANDIDATE
3,0,0.0,19.89913995,0.027,0,0,56.0,1,158.0,0,-2.75453,10811496,-0.038,10829.0,0.071,0.278,3.92,0.042,-0.3,0.154046,0.074,14.6,53.5,1,CANDIDATE
4,0,0.0,1.736952453,0.276,0,1,621.0,1,157.0,0,-0.01837,10848459,0.002,8079.2,0.072,0.0,8.5,0.289,-0.3,0.387394,0.076,33.46,3.278,0,FALSE POSITIVE
5,0,1.0,2.525591777,0.07,0,0,515.0,1,169.0,0,-1.74541,10854555,0.23,603.3,0.18,0.733,0.88,0.1,-0.3,0.024064,0.2,2.75,8.75,1,CANDIDATE
6,0,1.0,11.09432054,0.08,0,0,95.0,3,189.0,0,-0.38858,10872983,0.14,1517.5,0.13,0.15099363807728558,1.27,0.08,-0.3,0.036779,0.1,3.9,16.36,1,CANDIDATE
7,0,1.0,4.13443512,0.19,0,0,240.0,3,189.0,0,-0.26357,10872983,-0.32,686.0,0.15,0.15099363807728558,0.9,0.26,-0.3,0.026133,0.17,2.77,6.96,1,CANDIDATE
8,0,0.992,2.56658897,0.5,0,0,355.0,3,189.0,0,-0.45121,10872983,0.3,226.5,0.33,0.15099363807728558,0.52,0.45,-0.3,0.014983,0.3,1.59,5.54,1,CANDIDATE
9,0,0.0,7.36178958,8.948,1,1,185.0,1,111.0,0,-0.00053,6721123,24.09,233.7,0.071,0.0,6.45,8.93,-0.15,0.183387,0.077,39.21,2.4,0,FALSE POSITIVE
10,0,1.0,16.06864674,0.031,0,0,69.0,3,75.0,0,-0.51226,10910878,-0.044,4914.3,0.075,0.063,0.22,0.044,-0.15,0.062161,0.081,5.76,36.85,1,CANDIDATE
11,0,0.811,2.470613377,0.27,0,0,432.0,1,78.0,0,-0.00846,11446443,0.1066,14231.0,0.069,0.0,0.51,0.3,-0.15,0.123871,0.17,13.04,8.3977,1,CANDIDATE
12,0,1.0,2.204735417,4.19,0,1,611.0,1,76.0,0,-0.02633,10666592,-0.7585,6674.7,0.69,0.15099363807728558,0.81,3.97,-0.15,0.075522,0.75,16.1,4.602,1,CANDIDATE
13,0,0.998,3.522498429,0.178,0,0,384.0,1,112.0,0,-0.01458,6922244,-0.0597,9145.7,0.067,0.0,1.11,0.02,-0.15,0.092086,0.068,14.59,7.541,1,CANDIDATE
14,0,1.0,3.709214104,0.21,0,0,352.0,2,105.0,0,-0.57483,10984090,0.45,131.1,0.16,0.009,0.17,0.29,-0.15,0.010424,0.21,1.16,10.888,1,CANDIDATE
15,0,0.0,11.52144606,0.151,0,1,96.0,1,155.0,0,-0.41065,10419211,-0.038,17984.0,0.067,0.895,39.76,0.013,-0.3,1.625358,0.067,150.51,20.75,0,FALSE POSITIVE
16,0,0.0,19.40393776,0.152,0,1,71.0,1,151.0,0,-0.00172,10464078,-0.005,8918.7,0.068,0.048,0.76,0.009,-0.3,0.096729,0.068,7.18,9.099,0,FALSE POSITIVE
17,0,0.0,19.22138894,0.203,0,1,55.0,2,182.0,0,-0.02917,10480982,-0.2667,74284.0,0.068,0.0,16.03,0.006,-0.35,0.476633,0.067,49.29,31.323,0,FALSE POSITIVE
18,0,0.0,16.46983774,0.017,0,1,66.0,1,168.0,0,-0.01907,10485250,-0.25,10479.0,0.07,0.0,0.89,0.04,-0.3,0.092509,0.071,7.94,14.05,0,FALSE POSITIVE
19,0,1.0,9.27358173,0.346,0,0,144.0,1,131.0,0,-0.14046,10526549,0.2,1288.3,0.084,0.037,0.2,0.059,-0.3,0.032563,0.081,2.47,20.65,1,CANDIDATE
20,0,1.0,6.02930329,0.3,0,0,215.0,1,123.0,0,-3.66782,10583066,-0.24,1912.7,0.11,0.77,0.26,0.11,-0.3,0.038838,0.1,2.85,29.31,1,CANDIDATE
21,0,0.0,2.696370652,2.49,1,1,501.0,1,149.0,1,-0.14593,10583180,-0.53,397.9,0.52,0.0,0.13,2.44,-0.3,0.017673,0.54,1.58,5.827,0,FALSE POSITIVE
22,0,1.0,5.349553819,0.04,0,0,247.0,3,85.0,0,-0.73875,10601284,-0.38,831.0,0.12,0.002,0.16,0.04,-0.15,0.025706,0.12,2.55,13.8015,1,CANDIDATE
23,0,0.98,3.94105221,0.42,0,0,322.0,3,85.0,0,-0.52982,10601284,0.38,363.3,0.19,0.464,0.11,0.42,-0.15,0.017105,0.2,1.7,11.51,1,CANDIDATE
24,0,0.971,8.10904807,0.22,0,0,141.0,3,85.0,0,-0.63643,10601284,-0.1,217.4,0.99,0.013,0.09,0.18,-0.15,0.013127,0.96,1.3,17.46,1,CANDIDATE
25,0,0.4808294015396076,386.6030528,0.163,0,1,385.00676798860127,1,79.0,0,-0.12558,2306756,0.067,24927.0,0.075,0.002,1.68,0.037,-0.101,0.240528,0.07,41.5,332.0,0,FALSE POSITIVE
26,0,1.0,21.67699193,0.36,0,0,62.0,4,79.0,0,-0.06216,10662202,-0.26,857.2,0.13,0.103,0.12,0.11,-0.15,0.032666,0.19,2.95,24.6,1,CANDIDATE
27,0,1.0,4.99677968,0.11,0,0,208.0,1,175.0,0,-1.40683,10682541,-0.17,934.7,0.19,0.998,0.52,0.22,-0.3,0.030014,0.22,2.78,13.14,1,CANDIDATE
28,0,1.0,4.280963604,0.158,0,0,311.0,1,152.0,0,-0.15577,11460018,0.04,750.8,0.089,0.0,0.58,0.066,-0.3,0.025377,0.088,2.3,10.64,1,CANDIDATE
29,0,0.0,1.50635409,1.144,1,0,882.0,1,155.0,0,-0.30543,11463211,0.643,2211.7,0.074,0.0,1.01,1.292,-0.3,0.049899,0.076,4.53,4.67,0,FALSE POSITIVE
30,0,0.0,670.645531,1.092,1,1,3.0,1,100.0,0,-0.00046,11465813,0.435,18091.0,0.089,0.0,2.13,1.306,-0.15,0.131705,0.092,14.14,85.24,0,FALSE POSITIVE
31,0,0.0,61.2563628,0.074,0,1,13.0,1,184.0,0,-0.01383,11493732,0.28,5123.3,0.086,0.156,12.79,0.083,-0.3,0.334628,0.087,39.87,29.1,0,FALSE POSITIVE
32,0,1.0,38.3775486,0.04,0,0,37.0,1,82.0,0,-0.15885,11507101,-0.91,724.2,0.13,0.0,0.37,1.76,-0.15,0.024901,0.14,2.82,47.8,1,CANDIDATE
33,0,0.992,41.19725502,0.08,0,0,26.0,3,75.0,0,-0.98055,10910878,0.0,2213.9,0.2,0.123,0.15,0.12,-0.15,0.041693,0.16,3.86,70.75,1,CANDIDATE
34,0,1.0,6.252962249,0.05,0,0,167.0,3,75.0,0,-1.14248,10910878,0.15,1036.9,0.12,0.236,0.1,0.06,-0.15,0.028604,0.13,2.65,18.94,1,CANDIDATE
35,0,1.0,16.01308419,0.19,0,0,65.0,1,164.0,0,-0.14515,10987985,-0.36,1121.9,0.13,0.167,0.34,0.22,-0.25,0.034369,0.13,3.1,24.7,1,CANDIDATE
36,0,1.0,32.62876672,0.15,0,0,34.0,2,152.0,0,-0.76489,11018648,-0.17,1804.8,0.093,0.047,0.76,0.08,-0.3,0.03852,0.11,3.36,53.95,1,CANDIDATE
37,0,0.978,91.7732862,0.65,0,0,11.0,2,152.0,0,-1.4525,11018648,-0.52,652.0,0.37,0.599,0.48,0.55,-0.3,0.02432,0.66,2.12,89.4,1,CANDIDATE
38,0,1.0,4.959319244,0.08,0,0,269.0,1,77.0,0,-0.18338,11138155,-0.086,9802.0,0.067,0.705,1.96,0.022,-0.15,0.103379,0.068,12.21,12.386,1,CANDIDATE
39,0,0.0,2.701287801,6.51,1,1,387.0,1,182.0,0,-0.00767,11152159,15.08,860.4,0.37,0.0,1.64,6.45,-0.3,0.06584,0.46,6.54,2.22,0,FALSE POSITIVE
40,0,1.0,4.49876511,0.19,0,0,238.0,1,189.0,0,-0.19399,11153539,0.54,460.0,0.25,0.281,0.65,0.15,-0.35,0.019817,0.24,2.1,8.95,1,CANDIDATE
41,0,0.0,19.65120951,0.043,0,1,59.0,1,168.0,0,-0.03177,11242721,-0.022,11766.0,0.069,0.518,3.92,0.006,-0.3,0.106953,0.068,12.42,23.98,0,FALSE POSITIVE
42,0,1.0,5.412203927,0.24,0,0,244.0,3,104.0,0,-0.00404,9579641,-0.175,601.6,0.078,0.0,0.43,0.08,-0.15,0.024775,0.11,2.94,9.25,1,CANDIDATE
43,0,0.998,41.43958662,0.085,0,0,33.0,1,180.0,0,-0.03545,11304958,-0.15,2793.1,0.083,0.043,1.57,0.078,-0.3,0.048175,0.094,5.5,29.47,1,CANDIDATE
44,0,1.0,8.35389523,0.17,0,0,127.0,1,152.0,0,-2.25954,11391957,0.09,1041.6,0.11,0.645,0.54,0.09,-0.3,0.029305,0.13,2.52,29.18,1,CANDIDATE
45,0,1.0,4.125543472,0.075,0,0,323.0,1,173.0,0,-0.44111,11403044,0.07,1487.3,0.072,0.431,1.44,0.035,-0.3,0.036796,0.073,4.43,8.45,1,CANDIDATE
46,0,1.0,2.816504904,0.162,0,0,474.0,1,74.0,0,-0.41666,11414511,0.317,16814.0,0.069,0.0,1.62,0.025,-0.15,0.117059,0.069,12.21,9.571,1,CANDIDATE
47,0,0.0,33.93373447,3.353,1,1,31.0,1,136.0,0,-0.00227,11442465,0.336,8503.7,0.07,0.0,0.9,3.258,-0.3,0.095386,0.07,7.34,13.12,0,FALSE POSITIVE
48,0,1.0,3.689920099,0.3,0,0,360.0,1,157.0,0,-0.55842,12110942,0.07,426.7,0.24,0.255,0.54,0.27,-0.3,0.018878,0.24,1.89,10.71,1,CANDIDATE
49,0,1.0,4.431238488,0.07,0,0,302.0,3,77.0,0,-0.07443,12366084,0.82,1010.9,0.096,0.016,0.47,0.1,-0.15,0.02933,0.11,3.25,10.19,1,CANDIDATE
50,0,1.0,11.37936986,0.15,0,0,109.0,3,77.0,0,-0.08378,12366084,0.88,1023.5,0.17,0.372,0.57,0.11,-0.15,0.035628,0.18,3.95,16.31,1,CANDIDATE
51,0,1.0,26.39432897,0.18,0,0,51.0,1,154.0,0,-0.1069,12404086,0.77,1510.9,0.12,0.592,0.41,0.27,-0.3,0.03681,0.12,3.07,47.7,1,CANDIDATE
52,0,1.0,13.57078281,0.41,0,0,101.0,4,105.0,0,-0.08697,8395660,0.0,511.7,0.13,0.044,0.4,0.26,-0.15,0.023908,0.13,2.64,16.93,1,CANDIDATE
53,0,1.0,7.12594387,0.23,0,0,181.0,3,104.0,0,-0.04686,9579641,-0.73,192.4,0.24,0.009,0.26,0.06,-0.15,0.01512,0.2,1.79,8.62,1,CANDIDATE
54,0,0.014,7.442652004,0.122,0,1,180.0,1,183.0,0,-2.42034,11656840,-0.201,24446.0,0.068,0.0,4.73,0.076,-0.3,0.143936,0.068,15.03,27.99,0,FALSE POSITIVE
55,0,1.0,16.38489988,0.17,0,0,65.0,3,82.0,0,-1.93391,11754553,0.28,1127.1,0.4,0.204,0.09,0.03,-0.15,0.029758,0.43,2.0,42.62,1,CANDIDATE
56,0,1.0,7.8774163,0.16,0,0,135.0,3,82.0,0,-3.06106,11754553,0.27,1306.1,0.12,0.588,0.09,0.07,-0.15,0.03209,0.17,2.16,29.84,1,CANDIDATE
57,0,1.0,36.4454001,0.36,0,0,27.0,3,82.0,0,-2.09092,11754553,-0.58,1122.3,0.25,0.01,0.09,0.17,-0.15,0.029681,0.33,1.99,71.53,1,CANDIDATE
58,0,1.0,3.728732147,0.122,0,0,357.0,1,166.0,0,-0.40433,11812062,-0.217,5226.5,0.07,0.0,1.22,0.083,-0.3,0.068178,0.071,6.02,9.7,1,CANDIDATE
59,0,0.999,40.4195037,0.053,0,0,36.0,1,179.0,0,-1.19072,11818800,0.31,6256.0,0.071,0.027,1.12,0.057,-0.3,0.088069,0.072,7.51,54.7,1,CANDIDATE
60,0,1.0,2.243380573,0.08,0,0,472.0,1,82.0,0,-0.38164,11853255,0.46,821.7,0.13,0.0,0.1,0.33,-0.15,0.032248,0.16,1.99,7.38,1,CANDIDATE
61,0,0.0,10.40599802,0.101,0,1,117.0,1,173.0,0,-0.02766,11909839,-0.188,14489.0,0.068,0.553,2.92,0.012,-0.3,0.111248,0.069,11.23,13.012,0,FALSE POSITIVE
62,0,1.0,2.337437946,0.41,0,0,578.0,2,79.0,0,-0.6637,11918099,-0.45,971.2,0.077,0.0,0.17,0.061,-0.15,0.027998,0.077,2.34,8.86,1,CANDIDATE
63,0,0.993,7.2406612,0.39,0,0,168.0,2,79.0,0,-6.85891,11918099,-1.4,556.4,0.45,0.058,1.4,0.71,-0.15,0.232818,0.56,19.45,28.8,1,CANDIDATE
64,0,0.871,3.43591631,0.3,0,0,357.0,3,104.0,0,-0.44479,9579641,-0.3,23.2,0.66,0.858,0.08,0.05,-0.15,0.004612,1.0,0.55,6.65,1,CANDIDATE
65,0,1.0,11.59822233,0.69,0,0,115.0,1,73.0,0,-0.02771,11923270,0.92,2804.5,0.11,0.178,0.21,0.066,-0.15,0.051287,0.086,2.65,28.2,1,CANDIDATE
66,0,1.0,6.575315881,0.181,0,0,205.0,1,162.0,0,-0.07305,11960862,-0.099,2793.3,0.071,0.013,1.5,0.052,-0.3,0.049152,0.075,5.31,11.37,1,CANDIDATE
67,0,1.0,7.275040844,0.134,0,0,188.0,1,164.0,0,-0.01238,12020329,0.323,3001.0,0.069,0.0,1.05,0.085,-0.3,0.051358,0.069,4.86,6.66,1,CANDIDATE
68,0,1.0,19.27153892,0.36,0,0,67.0,2,81.0,0,-2.11552,12066335,0.05,1219.8,0.12,0.0,0.1,0.26,-0.15,0.031585,0.13,1.93,55.02,1,CANDIDATE
69,0,1.0,10.06524317,0.28,0,0,126.0,2,81.0,0,-12.19106,12066335,0.02,1053.3,0.17,0.0,0.1,0.25,-0.15,0.031153,0.21,1.91,45.9,1,CANDIDATE
70,0,1.0,12.3935651,0.18,0,0,107.0,1,166.0,0,-0.09309,12070811,0.39,916.6,0.2,0.758,0.54,0.17,-0.3,0.032536,0.18,2.66,13.07,1,CANDIDATE
71,0,0.998,43.84439721,0.22,0,0,29.0,4,105.0,0,-0.07087,8395660,0.01,615.2,0.24,0.012,0.43,0.23,-0.15,0.025934,0.24,2.87,28.2,1,CANDIDATE
72,0,0.0,3.341913228,5.364,1,1,780.0,1,175.0,0,-0.00331,3120431,0.75,725.3,0.086,0.0,3.54,5.172,-0.3,0.243351,0.086,21.55,2.19,0,FALSE POSITIVE
73,0,0.773,1.626630225,0.96,1,0,664.0,1,155.0,0,-0.00473,3246984,-1.31,1620.6,0.083,0.0,9.0,0.82,-0.3,0.305244,0.11,32.43,2.38,0,FALSE POSITIVE
74,0,1.0,2.711504086,0.104,0,0,494.0,2,174.0,0,-0.26031,3342970,0.32,837.5,0.11,0.0,1.02,0.05,-0.3,0.026533,0.099,3.12,7.088,1,CANDIDATE
75,0,1.0,7.21203748,0.2,0,0,165.0,2,174.0,0,-0.26684,3342970,0.81,950.4,0.16,0.0,1.09,0.09,-0.3,0.028255,0.14,3.32,14.003,1,CANDIDATE
76,0,0.4808294015396076,14.1798187,1.8125658216588836,0,0,385.00676798860127,1,161.0,1,-5.38392,12459725,-0.1658165901855308,459.9,0.4253372248165444,0.15099363807728558,0.71,1.8665610708310096,-0.26,0.019561,0.4760600400266844,1.88,43.54,0,FALSE POSITIVE
77,0,1.0,8.47237911,0.106,0,0,159.0,2,159.0,0,-0.9968,12470844,0.22,1123.5,0.089,0.046,0.37,0.17,-0.3,0.030119,0.097,2.59,24.47,1,CANDIDATE
78,0,0.989,60.4189369,0.46,0,0,22.0,2,159.0,0,-1.75507,12470844,0.26,931.3,0.54,0.424,0.34,0.53,-0.3,0.027422,0.29,2.36,93.71,1,CANDIDATE
79,0,1.0,12.61190435,0.037,0,0,104.0,1,156.0,0,-0.09156,12644822,1.099,6105.6,0.069,0.0,2.2,0.087,-0.3,0.073758,0.07,7.4,17.27,1,CANDIDATE
80,0,0.0,1.433769925,0.11,0,1,481.0,1,72.0,0,-0.01064,2440757,-1.34,1976.3,0.078,0.021,8.01,0.106,-0.15,0.318591,0.1,46.58,2.46,0,FALSE POSITIVE
81,0,0.0,10.31872301,4.77,1,1,130.0,1,176.0,0,-0.00897,2445129,-7.13,871.7,0.23,0.0,8.61,5.12,-0.3,0.247006,0.39,28.59,5.92,0,FALSE POSITIVE
82,0,1.0,2.539183147,0.26,0,0,528.0,1,82.0,0,-0.39959,2713049,-0.06,382.1,0.11,0.085,0.29,0.26,-0.15,0.017724,0.11,2.06,7.93,1,CANDIDATE
83,0,1.0,6.770300385,0.05,0,0,200.0,1,166.0,0,-0.25139,3114167,-0.73,1304.0,0.11,0.005,0.46,0.11,-0.3,0.037414,0.11,2.77,15.21,1,CANDIDATE
84,0,0.0,0.444291966,7.94,1,1,1466.0,1,156.0,1,-0.08172,3114661,-35.165,10967.0,0.11,0.0,3.46,7.365,-0.3,0.396105,0.1,27.51,1.641,0,FALSE POSITIVE
85,0,1.0,10.181584,0.087,0,0,129.0,1,179.0,0,-0.02879,3115833,-0.099,5741.1,0.07,0.021,2.17,0.009,-0.3,0.084708,0.072,7.73,12.776,1,CANDIDATE
86,0,1.0,20.06036336,0.23,0,0,59.0,4,70.0,0,-2.34385,4139816,0.04,1494.7,0.14,0.016,0.13,0.03,-0.15,0.036455,0.14,1.96,40.4,1,CANDIDATE
87,0,1.0,46.1842039,0.26,0,0,25.0,4,70.0,0,-1.29928,4139816,-1.12,1394.7,0.17,0.006,0.12,0.08,-0.15,0.033974,0.17,1.83,76.67,1,CANDIDATE
88,0,0.952,23.9800854,0.53,0,0,56.0,4,105.0,0,-0.0048,8395660,1.28,104.0,1.6,0.096,0.2,0.64,-0.15,0.011879,0.93,1.31,11.98,1,CANDIDATE
89,0,0.994,7.82502168,0.59,0,0,154.0,4,70.0,0,-2.24097,4139816,-0.7,520.8,0.3,0.048,0.08,0.55,-0.15,0.022312,0.4,1.2,20.2,1,CANDIDATE
90,0,1.0,3.895936525,0.016,0,0,275.0,1,167.0,0,-0.20597,4275191,-0.115,8544.8,0.068,0.0,1.53,0.342,-0.3,0.08689,0.069,7.34,12.29,1,CANDIDATE
91,0,0.999,22.36646466,0.23,0,0,48.0,1,160.0,0,-0.24007,4476123,-0.33,986.8,0.15,0.799,0.38,0.12,-0.3,0.028938,0.21,2.32,31.0,1,CANDIDATE
92,0,1.0,1.625522174,0.038,0,0,657.0,1,83.0,0,-0.02721,3351888,-0.53,7969.0,0.068,0.0,1.41,0.195,-0.15,0.080543,0.068,9.73,5.6364,1,CANDIDATE
93,0,1.0,19.62034692,0.08,0,0,52.0,1,76.0,0,-2.21333,3453214,-0.56,21725.0,0.072,0.0,1.82,0.913,-0.15,0.137595,0.074,13.6,77.9,1,CANDIDATE
94,1,0.0,7.544039,1.8125658216588836,1,0,143.0,1,152.0,0,-0.00489,3554600,6.49,322.6,0.4253372248165444,0.15099363807728558,4.12,1.8665610708310096,-0.3,0.194187,0.4760600400266844,17.47,2.28,0,FALSE POSITIVE
95,0,1.0,9.02930689,0.3,0,0,146.0,1,167.0,0,-0.80614,3641726,0.28,1019.8,0.13,0.097,0.44,0.29,-0.3,0.028718,0.13,2.57,22.57,1,CANDIDATE
96,0,0.053,10.32803571,0.053,0,1,114.0,1,169.0,0,-0.00767,3734868,-0.11,16918.0,0.072,0.0,3.64,0.075,-0.25,0.118805,0.069,13.28,10.988,0,FALSE POSITIVE
97,0,1.0,143.2063047,0.044,0,0,9.0,5,98.0,0,-0.07427,3832474,-0.442,10566.0,0.073,0.081,0.82,0.052,-0.2,0.094044,0.075,8.9,125.8,1,CANDIDATE
98,0,0.95,6.164876,0.7,0,0,207.0,4,105.0,0,-0.66683,8395660,-0.34,55.8,1.1,0.567,0.13,0.8,-0.15,0.007192,1.1,0.79,11.19,1,CANDIDATE
99,0,0.745,60.32494216,0.078,0,0,22.0,5,98.0,0,-0.09479,3832474,-0.356,20280.0,0.068,0.051,1.11,0.016,-0.2,0.128744,0.068,12.19,77.04,1,CANDIDATE
100,0,0.4808294015396076,29.1598615,1.8125658216588836,0,0,385.00676798860127,5,99.0,0,-0.42956,3832474,-0.1658165901855308,488.0,0.4253372248165444,0.15099363807728558,0.2,1.8665610708310096,-0.17,0.02018,0.4760600400266844,1.91,44.2,1,CANDIDATE
101,0,0.0,1.540397253,6.6,1,0,842.0,1,171.0,1,-0.01364,3836375,-3.71,816.1,1.3,0.0,7.44,6.5,-0.3,0.257087,1.3,25.69,1.971,0,FALSE POSITIVE
102,0,0.0,2.99025443,9.688,1,0,454.0,1,140.0,1,-0.03858,3838486,-4.82,589.2,0.075,0.0,0.1,9.915,-0.3,0.021279,0.075,1.7,4.349,0,FALSE POSITIVE
103,0,1.0,1.594745374,0.027,0,0,762.0,1,160.0,0,-0.09168,3935914,-0.482,15044.0,0.068,0.0,3.09,0.01,-0.3,0.115879,0.068,11.3,6.203,1,CANDIDATE
104,0,1.0,4.783002698,0.25,0,0,281.0,1,155.0,0,-0.96665,3940418,0.15,1008.7,0.089,0.282,0.34,0.034,-0.3,0.028315,0.1,2.5,16.102,1,CANDIDATE
105,0,1.0,20.50588921,0.108,0,0,69.0,1,148.0,0,-0.46716,4049131,-0.1,2105.5,0.079,0.722,0.28,0.047,-0.3,0.041039,0.097,3.41,38.91,1,CANDIDATE
106,0,1.0,3.340218842,0.154,0,0,398.0,4,70.0,0,-0.03843,4139816,0.05,1632.6,0.092,0.058,0.13,0.06,-0.15,0.037683,0.092,2.03,12.4,1,CANDIDATE
107,0,0.0,2.507089906,3.251,1,1,408.0,1,184.0,0,-0.00576,5287983,4.56,1339.2,0.081,0.0,9.57,3.275,-0.3,0.295115,0.087,30.26,3.32,0,FALSE POSITIVE
108,0,1.0,18.64932728,0.17,0,0,71.0,3,78.0,0,-0.49575,5358241,0.19,893.6,0.14,0.0,0.47,0.56,-0.15,0.027096,0.18,3.12,33.12,1,CANDIDATE
109,0,1.0,4.90144976,0.7,0,0,193.0,4,64.0,0,-0.25338,10875245,0.3,140.7,0.25,0.054,0.08,0.59,-0.1,0.011136,0.25,1.7,7.78,1,CANDIDATE
110,0,0.998,9.75192101,0.42,0,0,132.0,3,78.0,0,-0.03392,5358241,0.5,418.0,0.14,0.482,0.43,0.16,-0.15,0.024042,0.19,2.76,6.05,1,CANDIDATE
111,0,1.0,38.5576546,0.41,0,0,37.0,3,78.0,0,-0.08925,5358241,-0.07,993.0,0.13,0.0,0.62,0.47,-0.15,0.03498,0.15,4.02,24.9,1,CANDIDATE
112,0,0.99,3.525632539,0.233,0,0,382.0,1,82.0,0,-0.00048,5358624,-0.1522,22335.0,0.068,0.0,0.9,0.053,-0.15,0.13372,0.07,11.58,11.699,1,CANDIDATE
113,0,1.0,34.84398644,0.271,0,0,40.0,1,166.0,0,-0.82854,4544670,-0.2,4523.6,0.089,0.13,1.72,0.074,-0.3,0.080046,0.085,7.61,49.31,1,CANDIDATE
114,0,1.0,7.748094239,0.159,0,0,133.0,1,169.0,0,-0.01477,4664847,-0.12,2472.1,0.096,0.097,1.7,0.117,-0.3,0.046615,0.098,5.52,15.0,1,CANDIDATE
115,0,1.0,23.96793669,0.36,0,0,43.0,2,75.0,0,-0.51692,4725681,0.67,1182.3,0.19,0.01,0.1,0.23,-0.15,0.03141,0.24,1.8,45.2,1,CANDIDATE
116,0,0.995,8.29561738,0.94,0,0,119.0,2,75.0,0,-2.86966,4725681,1.06,824.3,0.26,0.029,0.1,0.6,-0.15,0.03178,0.29,1.82,24.8,1,CANDIDATE
117,0,1.0,8.11437482,0.78,0,0,167.0,1,73.0,0,-3.13735,4913852,-0.8,1558.0,0.097,0.024,0.14,0.082,-0.15,0.037204,0.1,2.1,23.58,1,CANDIDATE
118,0,0.0,38.03672948,0.121,0,1,26.0,1,166.0,0,-0.04864,4932348,0.0566,82872.0,0.069,0.0,5.28,0.149,-0.3,0.27018,0.074,27.5,78.037,0,FALSE POSITIVE
119,0,0.0,4.64090031,0.126,0,0,227.0,1,205.0,0,-0.0004,4936180,0.06,2450.6,0.077,0.029,5.79,0.098,-0.2,0.333559,0.073,30.09,1.354,1,CANDIDATE
120,0,0.0,3.747838198,11.23,1,1,358.0,1,149.0,1,-0.00049,11913073,-9.57,616.0,0.64,0.0,3.11,11.17,-0.3,0.151387,0.92,13.65,1.868,0,FALSE POSITIVE
121,0,0.992,14.74914825,0.43,0,0,72.0,4,64.0,0,-0.14827,10875245,-0.06,430.2,0.22,0.0,0.13,0.42,-0.1,0.018864,0.19,2.89,18.56,1,CANDIDATE
122,0,1.0,21.81295996,0.02,0,0,45.0,1,166.0,0,-0.97582,5021899,-0.27,1175.4,0.16,0.448,0.91,0.13,-0.3,0.030952,0.16,3.38,39.183,1,CANDIDATE
123,0,0.0,7.91936937,0.07,0,1,132.0,1,154.0,0,-0.05538,5077629,-0.324,15148.0,0.069,0.0,2.59,0.016,-0.3,0.121984,0.075,10.34,15.534,0,FALSE POSITIVE
124,0,0.4808294015396076,1.028436523,1.8125658216588836,0,0,385.00676798860127,1,183.0,0,-0.14255,5115978,-0.1658165901855308,8098.0,0.4253372248165444,0.15099363807728558,27.71,1.8665610708310096,-0.3,0.673134,0.4760600400266844,72.77,2.891,1,CANDIDATE
125,0,1.0,15.37562369,0.112,0,0,50.0,1,79.0,0,-0.3411,5164255,-0.008,15337.0,0.078,0.006,0.44,0.035,-0.15,0.12103,0.076,11.01,31.24,1,CANDIDATE
126,0,1.0,8.10363271,0.26,0,0,131.0,2,131.0,0,-0.76068,5252423,-0.75,887.9,0.11,0.0,0.18,0.2,-0.3,0.026361,0.15,2.11,20.09,1,CANDIDATE
127,0,1.0,4.71510843,0.6,0,0,208.0,2,131.0,0,-0.84727,5252423,-1.37,417.5,0.28,0.02,0.12,0.21,-0.3,0.018268,0.31,1.46,14.18,1,CANDIDATE
128,0,1.0,6.365839713,0.133,0,0,216.0,1,155.0,0,-0.00449,5272878,-0.16,780.7,0.081,0.871,0.6,0.049,-0.3,0.026275,0.084,2.44,14.46,1,CANDIDATE
129,0,0.037,5.97581754,1.26,1,0,181.0,1,193.0,0,-0.05173,5283542,1.33,962.4,0.11,0.0,1.32,1.25,-0.3,0.035468,0.15,3.86,6.53,0,FALSE POSITIVE
130,0,0.0,2.446737317,7.841,1,0,552.0,1,154.0,1,-0.00246,5649215,26.11,1177.9,0.073,0.0,6.9,7.787,-0.3,0.278526,0.074,26.25,1.749,0,FALSE POSITIVE
131,0,1.0,3.04033046,0.116,0,0,440.0,1,151.0,0,-0.15635,5651104,-0.345,10859.0,0.068,0.0,0.8,0.564,-0.3,0.104023,0.068,8.99,10.41,1,CANDIDATE
132,0,1.0,15.33528675,0.083,0,0,85.0,5,105.0,0,-0.11075,5792202,-0.16,3081.4,0.082,0.0,0.49,0.49,-0.15,0.056,0.082,5.0,21.65,1,CANDIDATE
133,0,0.998,7.95825328,0.76,0,0,109.0,4,64.0,0,-0.26616,10875245,0.58,50.0,0.91,0.628,0.05,0.96,-0.1,0.006915,0.7,1.06,10.01,1,CANDIDATE
