rowid,koi_fpflag_nt,koi_score,koi_period,koi_dikco_msky,koi_fpflag_co,koi_fpflag_ss,koi_num_transits,koi_count,koi_steff_err1,koi_fpflag_ec,koi_srho_err2,kepid,koi_fwm_sdeco,koi_depth,koi_dikco_mra_err,koi_fwm_stat_sig,koi_prad_err1,koi_dicco_msky,koi_smet_err2,koi_ror,koi_dikco_msky_err,koi_prad,koi_dor,classification,koi_pdisposition
8619,0,0.0,5.270733213,0.244,0,1,198.0,1,151.0,0,-1.036,5462901,0.7212,293640.0,0.068,0.0,2.01,1.25,-0.3,0.512254,0.068,37.93,21.01,0,FALSE POSITIVE
8620,0,0.786,2.43135542,1.37,0,0,555.0,1,169.0,0,-4.56356,5466109,1.13,123.6,1.1,0.035,0.33,1.69,-0.3,0.010274,0.74,1.07,13.32,1,CANDIDATE
8621,1,0.0,12.4232158,1.97,1,0,110.0,1,164.0,1,-0.01314,5471010,-1.06,261.5,0.5,0.0,0.28,1.93,-0.3,0.014676,0.58,1.3,5.33,0,FALSE POSITIVE
8622,1,0.0,4.3206933,1.42,1,0,315.0,1,185.0,0,-1e-05,6447326,0.56,147.9,0.34,0.021,0.5,1.44,-0.3,0.014734,0.34,1.66,1.01512,0,FALSE POSITIVE
8623,0,0.0,16.48679636,0.133,0,1,81.0,1,81.0,0,-0.01554,6448768,-0.097,48943.0,0.068,0.0,6.95,0.254,-0.15,0.20488,0.068,46.92,20.7655,0,FALSE POSITIVE
8624,0,0.0,5.7768734,0.34,0,0,233.0,1,194.0,1,-0.00993,6449291,0.92,71.0,0.86,0.123,1.07,0.36,-0.25,0.013266,0.67,3.13,1.797,0,FALSE POSITIVE
8625,0,0.0,20.14880771,0.1,0,1,0.0,1,166.0,0,-0.00375,6449552,0.06546,526950.0,0.067,0.15099363807728558,17.01,0.025,-0.3,0.683496,0.068,68.52,30.1615,0,FALSE POSITIVE
8626,0,0.61,0.687772143,0.222,0,1,1949.0,1,159.0,0,-0.02304,6452742,0.0771,40368.0,0.077,0.0,12.01,0.262,-0.3,0.454182,0.077,46.27,2.1877,0,FALSE POSITIVE
8627,0,0.0,0.843651274,0.134,0,1,1591.0,1,141.0,0,-0.02908,6464285,0.45191,305450.0,0.067,0.0,3.85,0.123,-0.3,0.526784,0.067,39.98,3.5153,0,FALSE POSITIVE
8628,0,0.0,1.142946648,0.07,0,1,1173.0,1,151.0,0,-0.01591,6466939,0.15323,412550.0,0.067,0.15099363807728558,3.36,0.22,-0.3,0.655143,0.067,43.5,4.198,0,FALSE POSITIVE
8629,0,0.0,7.217010987,0.034,0,1,190.0,1,163.0,0,-0.0969,6468938,0.1282,78714.0,0.067,0.0,25.41,0.009,-0.3,0.678383,0.067,89.71,13.5033,0,FALSE POSITIVE
8630,0,0.001,9.72869627,15.59,1,0,142.0,1,168.0,0,-0.00162,8429014,47.24,252.2,0.08,0.0,15.72,15.6,-0.35,0.287894,0.17,42.47,2.76,0,FALSE POSITIVE
8631,1,0.0,0.566791802,0.09,0,0,2370.0,1,152.0,1,-0.08349,7200301,-0.4,49.3,0.71,0.0,0.16,0.21,-0.35,0.006819,0.71,0.66,1.672,0,FALSE POSITIVE
8632,1,0.0,2.245738777,0.054,0,0,598.0,1,155.0,0,-0.00068,7203179,0.03833,483490.0,0.067,0.0,32.84,0.177,-0.3,0.691322,0.067,99.05,3.43849,0,FALSE POSITIVE
8633,0,0.0,2.24572117,0.87,1,1,596.0,1,150.0,1,-0.03875,7203194,-0.9,48.2,0.59,0.0,0.22,0.86,-0.3,0.006627,0.59,0.74,3.67,0,FALSE POSITIVE
8634,1,0.0,0.566801906,3.1,0,0,2360.0,1,113.0,1,-0.53268,7204073,0.26,89.7,0.78,0.641,0.04,3.3,-0.3,0.008589,1.3,0.55,2.722,0,FALSE POSITIVE
8635,0,0.0,2.316171991,0.1,0,1,584.0,1,141.0,0,-0.00868,7212722,0.08417,251480.0,0.067,0.0,12.83,0.009,-0.3,0.570473,0.067,49.53,6.265,0,FALSE POSITIVE
8636,0,0.997,12.54474243,0.41,0,0,109.0,1,78.0,0,-30.73259,7217088,0.5,263.1,0.32,0.739,0.3,0.49,-0.15,0.014829,0.72,1.88,77.1,1,CANDIDATE
8637,0,0.0,0.56680208,0.64,0,0,2361.0,1,144.63555408970976,1,-0.00425,7280953,-0.88,23791.335898271922,0.17,0.0,17.65768394739702,0.64,-0.2520326904217064,0.28364628616454735,0.19,102.89177806760135,76.73633334039779,0,FALSE POSITIVE
8638,1,0.0,0.566810701,2.0,0,0,2374.0,1,167.0,1,0.0,7281217,-0.1658165901855308,200.0,0.67,0.15099363807728558,0.3,2.09,-0.3,0.018177,0.65,1.49,1.0102,0,FALSE POSITIVE
8639,1,0.0,0.566813319,2.33,0,0,2307.0,1,193.0,0,-0.04281,7281229,-0.1658165901855308,129.1,0.82,0.15099363807728558,6.79,2.54,-0.35,0.206142,0.58,23.19,1.213,0,FALSE POSITIVE
8640,1,0.0,28.78725751,0.307,0,0,48.0,1,108.0,0,-0.0011,8143170,0.2497,49618.0,0.069,0.0,16.53,0.003,-0.35,0.209933,0.069,91.26,16.929,0,FALSE POSITIVE
8641,0,0.0,0.835315046,0.15,0,1,1602.0,1,135.0,0,-0.01416,8145789,0.2101,16876.0,0.068,0.0,3.27,0.1,-0.3,0.405309,0.068,30.54,2.2088,0,FALSE POSITIVE
8642,0,0.978,3.07551068,0.53,0,0,429.0,1,78.0,0,-5.44897,8145958,2.4,46.1,0.6,0.005,0.13,0.47,-0.15,0.006171,0.58,0.84,14.06,1,CANDIDATE
8643,0,0.0,26.0164225,2.436,0,1,4.0,1,198.0,0,-0.07994,8155584,-0.872,41109.0,0.068,0.0,17.79,2.194,-0.3,0.4367,0.068,61.04,41.2,0,FALSE POSITIVE
8644,0,0.943,6.29340543,0.97,0,0,214.0,1,167.0,0,-1.44509,8155654,0.6,96.4,0.76,0.436,0.38,0.99,-0.3,0.009164,0.74,1.08,14.52,1,CANDIDATE
8645,1,0.4808294015396076,593.19521,2.2,0,0,3.0,1,163.0,0,-0.10349,8158324,-0.8,227.3,1.9,0.261,0.58,2.0,-0.3,0.014455,2.4,1.63,142.0,0,FALSE POSITIVE
8646,0,0.0,0.706430188,1.94,1,0,1887.0,1,152.0,1,-2.39324,8162376,0.62,50.8,1.1,0.173,0.02,1.9,-0.3,0.006559,0.98,0.41,4.05,0,FALSE POSITIVE
