pl_radeerr1,st_rad,pl_orbper,st_dist,st_disterr2,pl_trandep,pl_rade,st_pmra,pl_orbpererr2,pl_tranmiderr2,pl_tranmid,pl_eqt,st_tmag,pl_trandeperr1,pl_trandeperr2,pl_orbpererr1,st_logg,pl_insol,st_tefferr2,st_teff,st_disterr1,pl_trandurh,pl_trandurherr1,pl_tranmiderr1,classification,tfopwg_disp
0.217749,1.22,1.90879,235.974,-1.579,618.482,3.34688,-3.211,-0.00035,-0.00426,2458492.904,1561.0,10.5551,1.43774,-1.43774,0.00035,4.52,985.807,-133.5,6022.6,1.579,1.909,0.231,0.00426,0,FP
0.778713,1.41,3.09574,120.666,-1.068,380.0,3.4262,-15.787,-0.00677,-0.00834,2458547.448,3230.0,8.72924,465.5058580914858,-465.5058580914858,0.00677,4.13,18087.9,-111.0,6084.0,1.068,4.475,1.196,0.00834,0,FA
4.01475,2.99,1.3214483,316.398,-2.247,2180.0,21.8839,-23.366,-2.31e-05,-0.003015,2459303.304,3827.0,9.697,137.946,-137.946,2.31e-05,3.56,35623.2,-86.8,5050.8,2.247,3.435,0.071,0.003015,0,FP
1.3680428730103202,7.61,18.0157,692.266,-12.113,610.0,21.644,1.128,-0.00015,-0.00592,2458339.723,463.0,10.0814,1.66317,-1.66317,0.00015,4.308631089078234,7.64364,-122.0,4709.0,12.113,2.524,0.403,0.00592,0,FP
1.3680428730103202,1.398624360153596,9.6837921,129.838,-1.713,4238.239901,10.14030258702008,-19.153,-9e-07,-9.2e-05,2458545.15,1914.698926,5.5324,15.838111,-15.838111,9e-07,4.308631089078234,3176.310692,-1245.7,8598.7,1.713,2.4006056,0.0086986,9.2e-05,1,PC
0.1510812,0.853898,14.2628757,105.677,-0.2575,913.2067174,2.4765813,47.228,-3.85e-05,-0.00363,2460720.808,980.3628831,9.9138,37.2772746,-37.2772746,3.85e-05,4.58,153.2069421,-129.0,5690.0,0.2575,6.9350494,0.466316,0.00363,0,FP
0.314177,0.68,3.2834565,56.3449,-0.13245,1558.0,2.87648,-87.554,-4.6e-06,-0.001406,2460037.869,992.0,10.2103,185.42,-185.42,4.6e-06,4.6,161.092,-122.7,4272.0,0.13245,1.537,0.709,0.001406,1,PC
0.268927,0.68,11.02875,56.3449,-0.13245,1694.0,2.76586,-87.554,-3.54e-05,-0.002913,2460032.533,548.0,10.2103,104.432,-104.432,3.54e-05,4.6,15.0463,-122.7,4272.0,0.13245,2.715,0.404,0.002913,1,PC
0.302798,0.68,5.0113292,56.3449,-0.13245,1210.0,2.52314,-87.554,-1.2e-05,-0.002567,2460032.573,567.0,10.2103,182.035,-182.035,1.2e-05,4.6,17.1793,-122.7,4272.0,0.13245,1.024,0.471,0.002567,1,PC
0.0989898,0.68,1.01606,23.7748,-0.02025,240.0,1.20704,30.65,-0.00034,-0.00412,2458544.481,2023.0,7.9059,0.375709,-0.375709,0.00034,4.64,2784.04,-120.9,4634.0,0.02025,2.843,0.278,0.00412,0,FP
1.3680428730103202,1.398624360153596,36.22214,480.5485556089607,-19.681833991538227,7170.0,10.14030258702008,-0.5914762573756674,-0.00046,-0.00096,2458365.893,1274.598122689369,6.841,228.173,-228.173,0.00046,4.308631089078234,2196.752627544466,-200.91517836935745,5773.643586343114,19.681833991538227,5.107,0.188,0.00096,0,FP
0.196435,1.4,3.547854,411.211,-7.752,10424.3718,14.581841,10.426,-0.000149,-0.000586,2458327.253,1504.858953,11.5232,123.359314,-123.359314,0.000149,4.22896,1212.004376,-200.91517836935745,6351.0,7.752,3.494333,0.049205,0.000586,1,KP
2.59688,1.07,12.1246519,78.41273,-2.83992,7279.0,17.6729,-26.184,-1.03e-05,-0.000628,2460054.784,1057.0,9.5706,6484.95,-6484.95,1.03e-05,4.17,207.32,-60.0,4807.6,2.83992,4.612,0.667,0.000628,0,FP
1.13988,1.92,5.652623,270.771,-1.6275,1250.0,8.94354,-23.901,-2.54e-05,-0.002852,2459304.838,2011.0,9.7318,26.0133,-26.0133,2.54e-05,3.98,2717.06,-103.2,6415.4,1.6275,3.434,0.475,0.002852,0,FP
0.7471176,2.3383701,5.6643704,587.196,-18.7865,3491.823297,14.7738943,-15.15,-1.09e-05,-0.000897,2459283.829,2385.853649,9.7611,95.25267,-95.25267,1.09e-05,4.13,7657.662151,-320.6,10395.0,18.7865,3.8087395,0.0887935,0.000897,1,PC
1.3680428730103202,2.01,29.0160175,219.94,-19.681833991538227,1389.0,6.77406,8.9,-6.47e-05,-0.002821,2460195.101,1274.598122689369,10.0163,36.0326,-36.0326,6.47e-05,4.308631089078234,33.2234,-200.91517836935745,6113.1,19.681833991538227,5.345,0.314,0.002821,0,FP
